node1,node2
642,4360
643,4359
643,4410
644,683
644,4362
644,4400
645,684
645,4361
645,4399
645,7946
646,4364
646,4397
647,681
647,681
647,4363
647,4398
648,1646
648,1678
648,5790
648,5824
649,4367
649,5788
650,1645
650,1805
650,4366
650,6017
651,697
651,4414
651,5954
652,595
652,4313
652,4370
653,596
653,4312
653,4369
654,591
654,1686
654,4309
654,4372
654,5832
655,592
655,4308
655,4371
656,620
656,4374
657,614
657,4337
657,4373
657,4375
658,1804
658,4331
658,4374
658,6016
659,609
659,714
659,4323
659,4377
659,4432
660,594
660,715
660,4312
660,4376
660,4431
661,869
661,1638
661,1689
661,4379
661,5835
662,588
662,4306
662,4378
662,5781
663,720
663,4381
663,4403
663,4434
663,4436
664,582
664,687
664,4300
664,4380
665,704
665,4326
665,4338
665,4383
665,4420
666,599
666,621
666,4317
666,4382
667,1973
667,4385
668,4341
668,4384
668,4386
668,6205
669,624
669,4385
669,7944
670,622
670,4340
670,4388
671,623
671,695
671,4339
671,4387
671,4412
672,587
672,3367
672,4305
672,4391
672,5781
672,8302
673,702
673,714
673,4430
673,6204
674,585
674,3366
674,4301
674,4389
674,8303
675,708
675,3365
675,4392
675,4417
675,4426
676,619
676,709
676,4393
676,4418
676,4425
677,4336
677,4346
677,4392
677,4394
678,629
678,4393
678,7765
679,593
679,4309
679,4396
679,6136
680,1673
680,1904
680,4395
680,5828
681,647
681,647
681,4363
681,4398
682,4364
682,4397
682,7764
683,634
683,644
683,4350
683,4362
683,4400
684,645
684,712
684,4361
684,4399
684,4430
685,123
685,597
685,3709
685,4315
685,4402
686,598
686,702
686,4314
686,4401
686,4420
687,581
687,664
687,4299
687,4380
687,4404
688,582
688,707
688,4298
688,4403
688,4425
689,601
689,621
689,4317
689,4406
690,4326
690,4338
690,4405
690,4407
691,608
691,704
691,4406
691,4408
692,711
692,4407
692,4421
692,4429
693,126
693,598
693,3712
693,4316
693,4410
693,7478
694,599
694,642
694,4315
694,4360
694,4409
695,581
695,671
695,4297
695,4412
696,706
696,4388
696,4411
696,4413
696,4424
697,651
697,707
697,4412
697,4414
697,4423
698,629
698,4347
698,4368
698,4413
698,4415
699,630
699,4346
699,4414
699,7766
700,589
700,1688
700,4307
700,4417
700,5834
701,590
701,4306
701,4416
701,4418
701,8301
702,673
702,686
702,714
702,4420
702,4430
703,608
703,4382
703,4402
703,4419
703,4421
704,665
704,691
704,4326
704,4408
704,4420
705,4339
705,4423
705,5953
706,622
706,696
706,4413
706,4422
706,4424
707,688
707,697
707,4412
707,4423
707,4425
708,675
708,4392
708,4404
708,4424
708,4426
709,590
709,676
709,4308
709,4418
709,4425
709,4427
710,591
710,1686
710,4307
710,4426
710,5834
711,692
711,4429
711,7946
712,684
712,4408
712,4428
712,4430
713,4390
713,4400
713,4419
713,4429
713,4431
714,659
714,673
714,702
714,4377
714,4430
714,4432
715,660
715,4376
715,4431
716,719
716,4435
716,5948
717,719
717,4380
717,4437
717,5948
718,1770
718,4433
718,4436
718,5973
719,716
719,717
719,4380
719,4435
719,4437
720,663
720,4434
720,4436
721,728
721,4446
722,3368
722,8305
723,725
723,729
723,1770
723,4441
723,5975
724,4440
724,4442
725,723
725,4441
726,4444
726,4447
727,730
727,3367
727,4330
727,4443
727,8304
728,721
728,4446
729,723
729,1770
729,4438
729,4445
729,5975
730,586
730,727
730,4304
730,4443
730,5782
731,739
731,4454
732,4453
732,4461
733,3315
733,4456
733,4457
733,8238
734,735
734,735
734,4455
734,4458
735,734
735,734
735,4455
735,4458
736,744
736,4456
736,4457
736,4459
737,743
737,4458
737,4460
737,4466
738,3313
738,4459
738,4465
738,8238
739,731
739,750
739,4454
739,4471
740,752
740,2089
740,4463
740,6254
740,6384
741,2081
741,2090
741,4462
741,6376
741,6383
742,4465
742,4466
743,737
743,744
743,4460
743,4464
744,736
744,743
744,4459
744,4464
745,2080
745,2091
745,6374
745,6384
746,2021
746,4469
746,6252
746,6382
747,2084
747,2088
747,4468
747,6375
748,4471
748,6255
748,6373
748,6385
749,2080
749,4461
